"i","j","x","alpha","lambda","dev.ratio","AIC"
1,26,-11.055831232642,1,9.47224327549134,0.0443924532575632,935.29817662556
333,26,-79.8710527588259,1,9.47224327549134,0.0443924532575632,935.29817662556
339,26,-91.2585845470085,1,9.47224327549134,0.0443924532575632,935.29817662556
1,27,-11.3526006822556,0.5,19.13030966895,0.0695503140958323,597.280403877476
326,27,-7.78555720054071,0.5,19.13030966895,0.0695503140958323,597.280403877476
327,27,-29.4355324195628,0.5,19.13030966895,0.0695503140958323,597.280403877476
333,27,-31.8949844645784,0.5,19.13030966895,0.0695503140958323,597.280403877476
339,27,-5.79612905509106,0.5,19.13030966895,0.0695503140958323,597.280403877476
346,27,-52.6492131227608,0.5,19.13030966895,0.0695503140958323,597.280403877476
353,27,-92.2455386620185,0.5,19.13030966895,0.0695503140958323,597.280403877476
1,28,-11.2335112896086,0.5,8.6507266480522,-7.07979791703887e-16,1458.91828047606
1,29,-11.1772765877271,1,50.4711963850768,0.294673146265586,1509.53111173127
339,29,-265.375748162488,1,50.4711963850768,0.294673146265586,1509.53111173127
353,29,-298.286687703571,1,50.4711963850768,0.294673146265586,1509.53111173127
1,30,-11.1798017661908,1,26.9034693298465,0.251239089036244,895.186486827059
339,30,-148.109359176091,1,26.9034693298465,0.251239089036244,895.186486827059
353,30,-404.904112840382,1,26.9034693298465,0.251239089036244,895.186486827059
1,31,-11.1220708936351,1,6.99584383322905,0.180149237738624,630.867335371651
339,31,-234.301815839065,1,6.99584383322905,0.180149237738624,630.867335371651
366,31,-804.785756086535,1,6.99584383322905,0.180149237738624,630.867335371651
1,32,-11.4490536454209,0.5,519.028586859212,1.03378604129522e-15,10214.9941435745
1,33,-11.5286188169874,0.5,41.1584283614568,2.75273872589e-15,1164.32918422001
1,34,-11.4173407079273,1,12.340726525243,0.0712788086914232,2852.29636119432
92,34,61.0483171249736,1,12.340726525243,0.0712788086914232,2852.29636119432
296,34,615.810516694028,1,12.340726525243,0.0712788086914232,2852.29636119432
1,35,-10.8779209912569,1,864.956677060495,0.31733717703612,27060.7787399162
29,35,-1399.58145351884,1,864.956677060495,0.31733717703612,27060.7787399162
1,36,-10.8474516722993,1,697.659193912099,0.337100625478231,22096.2271439014
29,36,-1505.11011769806,1,697.659193912099,0.337100625478231,22096.2271439014
1,37,-11.2207070462457,0.5,3336.36191052751,0,64557.7749351639
1,38,-10.9589915403309,1,13.9064923793996,0.193718434892127,811.110453138568
29,38,-762.438787026676,1,13.9064923793996,0.193718434892127,811.110453138568
339,38,-179.817422065558,1,13.9064923793996,0.193718434892127,811.110453138568
1,39,-11.3038047423082,1,196.276152638003,0.253869128201097,4576.75110988658
339,39,-307.681241573058,1,196.276152638003,0.253869128201097,4576.75110988658
1,40,-11.0050871773646,0.9,67.6329796595253,0.260097838015264,3057.10710138009
327,40,-130.040579097835,0.9,67.6329796595253,0.260097838015264,3057.10710138009
333,40,-204.175421602743,0.9,67.6329796595253,0.260097838015264,3057.10710138009
339,40,-118.650945153708,0.9,67.6329796595253,0.260097838015264,3057.10710138009
346,40,-37.3222159944802,0.9,67.6329796595253,0.260097838015264,3057.10710138009
1,41,-11.4736858367365,0.9,5.04015736054305,0.931852772261844,226.778852217142
10,41,-123.473880140142,0.9,5.04015736054305,0.931852772261844,226.778852217142
55,41,82.2535468963561,0.9,5.04015736054305,0.931852772261844,226.778852217142
89,41,931.798139920638,0.9,5.04015736054305,0.931852772261844,226.778852217142
198,41,-126.088038199395,0.9,5.04015736054305,0.931852772261844,226.778852217142
320,41,-25.3369404846427,0.9,5.04015736054305,0.931852772261844,226.778852217142
335,41,-611.343831840693,0.9,5.04015736054305,0.931852772261844,226.778852217142
339,41,-112.734608890379,0.9,5.04015736054305,0.931852772261844,226.778852217142
378,41,-1726.84594470212,0.9,5.04015736054305,0.931852772261844,226.778852217142
450,41,-172.147955992479,0.9,5.04015736054305,0.931852772261844,226.778852217142
458,41,7.91851912499389,0.9,5.04015736054305,0.931852772261844,226.778852217142
578,41,377.497592750764,0.9,5.04015736054305,0.931852772261844,226.778852217142
1,42,-11.1215253093231,0.5,70.9082589026123,-5.36482593623447e-15,1587.71079394047
1,43,-11.2023860587478,0.5,266.050417259444,-1.915829302495e-15,5586.4513656641
