"i","j","x","alpha","lambda","dev.ratio","AIC"
316,15,-7.54957270261177,0.5,23.2005953551641,0.204673460900583,869.17234151195
319,15,-3.58267486369697,0.5,23.2005953551641,0.204673460900583,869.17234151195
320,15,-21.6437718926905,0.5,23.2005953551641,0.204673460900583,869.17234151195
323,15,-9.52869949816418,0.5,23.2005953551641,0.204673460900583,869.17234151195
333,15,-19.0123442967344,0.5,23.2005953551641,0.204673460900583,869.17234151195
335,15,-122.439247216392,0.5,23.2005953551641,0.204673460900583,869.17234151195
339,15,-120.65790923403,0.5,23.2005953551641,0.204673460900583,869.17234151195
450,15,-4.90865582840951,0.5,23.2005953551641,0.204673460900583,869.17234151195
632,15,1.01251960544906,0.5,23.2005953551641,0.204673460900583,869.17234151195
1,16,-11.229027406264,0.5,21.3774894960159,0.00118501489897344,702.396669855071
632,16,0.499272317123741,0.5,21.3774894960159,0.00118501489897344,702.396669855071
1,17,-11.2363957408595,0.5,18.4266137176016,0.439535741409674,528.295049303521
27,17,-1.30785054834238,0.5,18.4266137176016,0.439535741409674,528.295049303521
171,17,-2.664807282805,0.5,18.4266137176016,0.439535741409674,528.295049303521
178,17,-205.331430071444,0.5,18.4266137176016,0.439535741409674,528.295049303521
181,17,-125.495045669317,0.5,18.4266137176016,0.439535741409674,528.295049303521
193,17,-130.594091244201,0.5,18.4266137176016,0.439535741409674,528.295049303521
320,17,-36.4605819587485,0.5,18.4266137176016,0.439535741409674,528.295049303521
323,17,-39.4292146880981,0.5,18.4266137176016,0.439535741409674,528.295049303521
366,17,-266.702789811652,0.5,18.4266137176016,0.439535741409674,528.295049303521
422,17,-269.899543882557,0.5,18.4266137176016,0.439535741409674,528.295049303521
632,17,3.56520878590704,0.5,18.4266137176016,0.439535741409674,528.295049303521
1,18,-11.0656709938895,0.8,152.856656846799,0.0161884882605194,54969.8047779338
296,18,829.700034758577,0.8,152.856656846799,0.0161884882605194,54969.8047779338
632,18,-0.104665520115309,0.8,152.856656846799,0.0161884882605194,54969.8047779338
1,19,-12.1523093620749,0.5,113.634402532553,0.145387360467221,2843.43424871389
632,19,7.37327763888584,0.5,113.634402532553,0.145387360467221,2843.43424871389
1,20,-12.5196862254293,0.5,48.1979528500145,0.470314068846618,1290.38807898614
632,20,12.3657505590606,0.5,48.1979528500145,0.470314068846618,1290.38807898614
1,21,-12.771689128832,0.5,41.4080338332638,0.481010408340394,1068.83986990901
632,21,14.6196855863908,0.5,41.4080338332638,0.481010408340394,1068.83986990901
